,duration_bin,games_played,wins,hero_id
1178,5700,2,1,57
1179,3300,172,94,57
1180,1800,1642,889,57
1181,3900,47,17,57
1182,300,12,6,57
1183,3000,370,190,57
1184,4200,27,13,57
1185,6600,1,0,57
1186,4500,11,8,57
1187,1200,1056,535,57
1188,2700,534,276,57
1189,2100,1302,669,57
1190,5400,1,0,57
1191,900,401,187,57
1192,600,80,29,57
1193,2400,957,498,57
1194,3600,79,47,57
1195,1500,1538,829,57
1196,4800,9,3,57
1197,5700,4,0,58
1198,3300,336,167,58
1199,1800,3132,1572,58
1200,3900,78,37,58
1201,300,31,17,58
1202,6000,4,1,58
1203,3000,685,323,58
1204,4200,44,19,58
1205,4500,19,10,58
1206,1200,1731,960,58
1207,2700,1004,476,58
1208,5100,9,7,58
1209,2100,2546,1248,58
